State,COVID19 Data Type,State Source,Last Checked,M,T,W,R,F,Sa,Sun,Holidays,# reports/week
Virginia,Deaths,https://www.vdh.virginia.gov/coronavirus/,7/19/21,Y,Y,Y,Y,Y,N,N,,5
Virginia,Tests,https://www.vdh.virginia.gov/coronavirus/,7/19/21,Y,Y,Y,Y,Y,N,N,,5
Virginia,Vaccines,https://www.vdh.virginia.gov/coronavirus/,7/19/21,Y,Y,Y,Y,Y,N,N,,5
Washington,Cases,https://www.doh.wa.gov/Emergencies/COVID19/DataDashboard#dashboard,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Washington,Deaths,https://www.doh.wa.gov/Emergencies/COVID19/DataDashboard#dashboard,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Washington,Tests,https://www.doh.wa.gov/Emergencies/COVID19/DataDashboard#dashboard,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Washington,Vaccines,https://www.doh.wa.gov/Emergencies/COVID19/DataDashboard#dashboard,7/2/21,Y,Y,Y,Y,Y,N,N,,5
West Virginia,Cases,https://dhhr.wv.gov/COVID-19/Pages/default.aspx,8/28/21,Y,Y,Y,Y,Y,Y,Y,,7
West Virginia,Deaths,https://dhhr.wv.gov/COVID-19/Pages/default.aspx,8/28/21,Y,Y,Y,Y,Y,N,N,,5
West Virginia,Tests,https://dhhr.wv.gov/COVID-19/Pages/default.aspx,8/28/21,Y,Y,Y,Y,Y,Y,Y,,7
West Virginia,Vaccines,https://dhhr.wv.gov/COVID-19/Pages/default.aspx,8/28/21,Y,Y,Y,Y,Y,N,N,,5
Wisconsin,Cases,https://www.dhs.wisconsin.gov/covid-19/data.htm,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Wisconsin,Deaths,https://www.dhs.wisconsin.gov/covid-19/data.htm,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Wisconsin,Tests,https://www.dhs.wisconsin.gov/covid-19/data.htm,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Wisconsin,Vaccines,https://www.dhs.wisconsin.gov/covid-19/vaccine-data.htm,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Wyoming,Cases,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Wyoming,Deaths,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Wyoming,Tests,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
Wyoming,Vaccines,https://health.wyo.gov/publichealth/immunization/wyoming-covid-19-vaccine-information/covid-19-vaccine-distribution-data/,7/2/21,Y,Y,Y,Y,Y,N,N,,5
